ll6Fc7gAAAAJ:u5HHmVD_uO8C	1839
ll6Fc7gAAAAJ:M05iB0D1s5AC	1005
ll6Fc7gAAAAJ:O3NaXMp0MMsC	854
ll6Fc7gAAAAJ:UeHWp8X0CEIC	485
ll6Fc7gAAAAJ:aqlVkmm33-oC	396
ll6Fc7gAAAAJ:YOwf2qJgpHMC	357
ll6Fc7gAAAAJ:u_35RYKgDlwC	235
ll6Fc7gAAAAJ:IjCSPb-OGe4C	200
ll6Fc7gAAAAJ:9yKSN-GCB0IC	145
ll6Fc7gAAAAJ:u-x6o8ySG0sC	136
ll6Fc7gAAAAJ:IWHjjKOFINEC	124
ll6Fc7gAAAAJ:d1gkVwhDpl0C	118
ll6Fc7gAAAAJ:roLk4NBRz8UC	116
ll6Fc7gAAAAJ:2osOgNQ5qMEC	108
ll6Fc7gAAAAJ:NMxIlDl6LWMC	106
ll6Fc7gAAAAJ:35N4QoGY0k4C	103
ll6Fc7gAAAAJ:RGFaLdJalmkC	103
ll6Fc7gAAAAJ:4TOpqqG69KYC	94
ll6Fc7gAAAAJ:2P1L_qKh6hAC	86
ll6Fc7gAAAAJ:M3ejUd6NZC8C	86
ll6Fc7gAAAAJ:0EnyYjriUFMC	86
ll6Fc7gAAAAJ:YsMSGLbcyi4C	86
ll6Fc7gAAAAJ:ufrVoPGSRksC	84
ll6Fc7gAAAAJ:lSLTfruPkqcC	83
ll6Fc7gAAAAJ:qjMakFHDy7sC	83
ll6Fc7gAAAAJ:zYLM7Y9cAGgC	82
ll6Fc7gAAAAJ:Y0pCki6q_DkC	78
ll6Fc7gAAAAJ:MXK_kJrjxJIC	76
ll6Fc7gAAAAJ:qxL8FJ1GzNcC	73
ll6Fc7gAAAAJ:zA6iFVUQeVQC	71
ll6Fc7gAAAAJ:YFjsv_pBGBYC	64
ll6Fc7gAAAAJ:eQOLeE2rZwMC	62
ll6Fc7gAAAAJ:4OULZ7Gr8RgC	59
ll6Fc7gAAAAJ:JV2RwH3_ST0C	53
ll6Fc7gAAAAJ:P5F9QuxV20EC	52
ll6Fc7gAAAAJ:Tyk-4Ss8FVUC	51
ll6Fc7gAAAAJ:JoZmwDi-zQgC	50
ll6Fc7gAAAAJ:Se3iqnhoufwC	49
ll6Fc7gAAAAJ:hqOjcs7Dif8C	47
ll6Fc7gAAAAJ:W7OEmFMy1HYC	46
ll6Fc7gAAAAJ:_FxGoFyzp5QC	45
ll6Fc7gAAAAJ:uWQEDVKXjbEC	44
ll6Fc7gAAAAJ:LkGwnXOMwfcC	42
ll6Fc7gAAAAJ:8AbLer7MMksC	40
ll6Fc7gAAAAJ:1sJd4Hv_s6UC	40
ll6Fc7gAAAAJ:dfsIfKJdRG4C	40
ll6Fc7gAAAAJ:WF5omc3nYNoC	39
ll6Fc7gAAAAJ:p2g8aNsByqUC	35
ll6Fc7gAAAAJ:g5m5HwL7SMYC	35
ll6Fc7gAAAAJ:vV6vV6tmYwMC	34
ll6Fc7gAAAAJ:NaGl4SEjCO4C	33
ll6Fc7gAAAAJ:hMod-77fHWUC	32
ll6Fc7gAAAAJ:UebtZRa9Y70C	31
ll6Fc7gAAAAJ:GnPB-g6toBAC	28
ll6Fc7gAAAAJ:70eg2SAEIzsC	26
ll6Fc7gAAAAJ:5nxA0vEk-isC	26
ll6Fc7gAAAAJ:CHSYGLWDkRkC	25
ll6Fc7gAAAAJ:SP6oXDckpogC	23
ll6Fc7gAAAAJ:dshw04ExmUIC	22
ll6Fc7gAAAAJ:_xSYboBqXhAC	20
ll6Fc7gAAAAJ:xtRiw3GOFMkC	18
ll6Fc7gAAAAJ:bEWYMUwI8FkC	18
ll6Fc7gAAAAJ:J-pR_7NvFogC	17
ll6Fc7gAAAAJ:4fKUyHm3Qg0C	16
ll6Fc7gAAAAJ:4DMP91E08xMC	16
ll6Fc7gAAAAJ:WqliGbK-hY8C	15
ll6Fc7gAAAAJ:ldfaerwXgEUC	15
ll6Fc7gAAAAJ:RYcK_YlVTxYC	15
ll6Fc7gAAAAJ:u9iWguZQMMsC	14
ll6Fc7gAAAAJ:mvPsJ3kp5DgC	13
ll6Fc7gAAAAJ:OU6Ihb5iCvQC	13
ll6Fc7gAAAAJ:f2IySw72cVMC	13
ll6Fc7gAAAAJ:ns9cj8rnVeAC	12
ll6Fc7gAAAAJ:5awf1xo2G04C	11
ll6Fc7gAAAAJ:wbdj-CoPYUoC	11
ll6Fc7gAAAAJ:cFHS6HbyZ2cC	11
ll6Fc7gAAAAJ:yD5IFk8b50cC	10
ll6Fc7gAAAAJ:V3AGJWp-ZtQC	9
ll6Fc7gAAAAJ:3fE2CSJIrl8C	9
ll6Fc7gAAAAJ:eJXPG6dFmWUC	8
ll6Fc7gAAAAJ:LPZeul_q3PIC	8
ll6Fc7gAAAAJ:kNdYIx-mwKoC	8
ll6Fc7gAAAAJ:nb7KW1ujOQ8C	7
ll6Fc7gAAAAJ:ZHo1McVdvXMC	7
ll6Fc7gAAAAJ:_kc_bZDykSQC	7
ll6Fc7gAAAAJ:8k81kl-MbHgC	7
ll6Fc7gAAAAJ:kRWSkSYxWN8C	6
ll6Fc7gAAAAJ:UxriW0iASnsC	6
ll6Fc7gAAAAJ:SeFeTyx0c_EC	6
ll6Fc7gAAAAJ:BqipwSGYUEgC	6
ll6Fc7gAAAAJ:KlAtU1dfN6UC	6
ll6Fc7gAAAAJ:XiVPGOgt02cC	5
ll6Fc7gAAAAJ:7PzlFSSx8tAC	5
ll6Fc7gAAAAJ:Mojj43d5GZwC	4
ll6Fc7gAAAAJ:AXPGKjj_ei8C	4
ll6Fc7gAAAAJ:a0OBvERweLwC	4
ll6Fc7gAAAAJ:3s1wT3WcHBgC	4
ll6Fc7gAAAAJ:t6usbXjVLHcC	3
ll6Fc7gAAAAJ:EUQCXRtRnyEC	3
ll6Fc7gAAAAJ:blknAaTinKkC	3
ll6Fc7gAAAAJ:VL0QpB8kHFEC	2
ll6Fc7gAAAAJ:ye4kPcJQO24C	2
ll6Fc7gAAAAJ:eq2jaN3J8jMC	2
ll6Fc7gAAAAJ:l7t_Zn2s7bgC	2
ll6Fc7gAAAAJ:NhqRSupF_l8C	2
ll6Fc7gAAAAJ:ULOm3_A8WrAC	2
ll6Fc7gAAAAJ:1qzjygNMrQYC	1
ll6Fc7gAAAAJ:olpn-zPbct0C	1
ll6Fc7gAAAAJ:isC4tDSrTZIC	1
ll6Fc7gAAAAJ:dhFuZR0502QC	1
ll6Fc7gAAAAJ:uLbwQdceFCQC	0
ll6Fc7gAAAAJ:_Ybze24A_UAC	0
ll6Fc7gAAAAJ:JQOojiI6XY0C	0
ll6Fc7gAAAAJ:UHK10RUVsp4C	0
ll6Fc7gAAAAJ:4JMBOYKVnBMC	0
ll6Fc7gAAAAJ:9ZlFYXVOiuMC	0
ll6Fc7gAAAAJ:Wp0gIr-vW9MC	0
ll6Fc7gAAAAJ:q3oQSFYPqjQC	0
ll6Fc7gAAAAJ:eflP2zaiRacC	0
ll6Fc7gAAAAJ:QIV2ME_5wuYC	0
